"","input","filtered","denoisedF","denoisedR","merged","nochim"
"1",67905,65538,63455,63947,54520,37834
"1009",44008,36122,32891,34109,24417,12592
"101",38130,14513,13402,13415,11752,11048
"1010",36340,26782,24456,24818,18820,12475
"1011",31292,22719,20026,20765,13718,7128
"1012",43584,29138,26647,26547,20187,13022
"1022",40972,15733,13833,13747,11383,7129
"1023",30994,18043,15628,16126,10850,8841
"1024",50956,41901,39497,40030,30943,15447
"1025",34636,27537,24312,25300,17043,8863
"1026",50183,19003,16361,16322,14289,8926
"1027",40824,15751,13716,13695,10737,8641
"1028",38822,22983,21193,21431,19372,6601
"1030",32191,26898,21864,22952,6752,5863
"1033",27086,14301,12629,12799,9854,5966
"1034",38503,31658,29477,30331,27321,7435
"1035",34677,22607,21037,20979,15525,8313
"1036",35499,13962,12036,11946,9281,6493
"1037",61352,55278,49947,52672,37007,12091
"1038",25644,23165,20370,21292,17321,3627
"1039",35160,31654,29296,30360,26354,7197
"1040",51574,26703,24639,24736,22543,7501
"1041",77490,50029,47067,48059,44684,12069
"1051-A01",35582,10337,9389,9131,8118,6317
"1052-A01",68954,29747,26714,26894,24499,13133
"106",22635,10235,9801,9745,9329,8367
"110",40493,31171,30330,30526,28286,21291
"111",39413,32223,31261,31465,26373,23252
"113",38447,26443,25703,25245,23914,21697
"115",26204,16224,15730,15477,14465,9277
"125",24457,14544,14101,13939,12501,7720
"127",68201,53071,51203,50607,45304,31603
"133",37849,29796,28967,28809,26323,16865
"169",32123,21063,20255,20421,19425,8820
"17",62212,58533,57639,57253,54071,40693
"174",38822,32158,31441,31203,28748,21514
"175",36822,25049,24333,24318,23390,12814
"177",39222,32140,31323,31434,29865,14482
"179",23803,17822,17325,17272,15973,10556
"181",105090,95021,92928,93725,64322,12902
"182",115094,100312,98079,98859,72717,22439
"183",59404,54376,52918,53312,40921,14252
"184",35609,28750,28254,27907,26757,21577
"192",35114,23167,21917,22098,19023,11147
"195",33287,26146,25305,25168,22046,15331
"196",38302,29725,29042,28786,26097,18756
"198",37492,32452,31605,31566,27552,19738
"200",30226,24926,23846,24477,22377,10272
"201",30159,25358,24128,25016,23880,4470
"202",36236,31573,30121,31214,29850,2131
"203",52461,46779,44921,46052,43843,4061
"204",31155,20988,19854,20631,19442,2289
"205",37184,21614,20647,21117,20089,3192
"206",45886,33620,31938,33177,31293,3014
"207",39099,34167,32828,33787,32464,3632
"208",30375,19522,18583,19032,18149,4986
"211",18841,8327,7985,7947,7610,3683
"222",17165,9328,8919,8582,7837,5776
"226",38705,25898,25117,25388,24520,9030
"227",35138,19693,18982,19014,17772,12043
"228",23851,18951,18359,18448,17549,12755
"234",113692,100926,98894,97847,69875,14892
"237",18048,11834,11353,11338,10369,7661
"238",39937,21996,21331,20488,19470,16049
"239",37724,28496,27737,26971,25403,16679
"245",111110,103424,99955,101839,83005,18088
"246",30751,15279,14711,14647,13995,6452
"247",91801,83243,80807,82414,64568,12729
"3",61549,58638,57620,57315,53860,33089
"30",47508,44196,43698,43511,41713,35058
"39",40729,38178,37064,36892,33817,25844
"4",53611,50143,48936,49278,46579,32290
"40",49616,47588,46210,46387,42122,31434
"41",62869,60811,59064,59128,53143,31684
"42",57021,54397,53619,53563,51114,37810
"43",46052,43145,42397,41820,40171,26005
"44",51278,49134,47016,47103,37835,31870
"45",52762,50246,48967,48555,42998,36063
"47",61878,59862,57544,57415,50043,30437
"49",55534,52910,51748,51313,47416,30732
"51",45246,41356,40544,40345,37588,21135
"52",55154,52220,50391,51489,47736,41589
"53",58782,56129,54411,55138,50406,37026
"54",55124,52958,51576,51492,46849,26560
"59",65800,62793,59483,60919,50146,41563
"6",51419,48108,47302,46956,43409,31213
"60",41942,38848,38352,37821,34855,24112
"61",50410,48100,46686,46584,40974,36293
